Año;Ambos sexos;Hombres;Mujeres
1975;33;31.72;34.22
1976;33.1;31.81;34.33
1977;33.2;31.9;34.44
1978;33.33;32.02;34.59
1979;33.48;32.16;34.76
1980;33.68;32.35;34.96
1981;33.9;32.56;35.19
1982;34.13;32.78;35.43
1983;34.39;33.03;35.7
1984;34.66;33.3;35.98
1985;34.95;33.58;36.27
1986;35.24;33.86;36.56
1987;35.54;34.17;36.87
1988;35.87;34.49;37.19
1989;36.19;34.82;37.51
1990;36.52;35.15;37.84
1991;36.86;35.48;38.18
1992;37.14;35.77;38.47
1993;37.43;36.05;38.75
1994;37.71;36.33;39.05
1995;38.02;36.63;39.35
1996;38.33;36.94;39.66
1997;38.64;37.24;39.97
1998;38.94;37.54;40.28
1999;39.23;37.84;40.57
2000;39.51;38.11;40.85
2001;39.78;38.38;41.12
2002;40.01;38.62;41.34
2003;40.11;38.72;41.45
2004;40.21;38.83;41.55
2005;40.34;38.97;41.68
2006;40.46;39.09;41.79
2007;40.57;39.21;41.89
2008;40.64;39.3;41.96
2009;40.78;39.44;42.09
2010;41.01;39.68;42.31
2011;41.27;39.95;42.56
2012;41.54;40.22;42.81
2013;41.82;40.51;43.09
2014;42.15;40.84;43.42
2015;42.45;41.13;43.71
2016;42.7;41.39;43.97
2017;42.95;41.64;44.22
2018;43.17;41.86;44.43
2019;43.37;42.06;44.63
2020;43.57;42.26;44.83
2021;43.79;42.48;45.05
2022;44.06;42.75;45.33
2023;44.18;42.87;45.44
